id,bank_org,address,coords,exchange_rates
4558337257155510391,БНБ-Банк,"Минск, пр-т Победителей, 65 (ТЦ «Замок»)","53.926345885399,27.518212789688","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": ""2.908""}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": ""2.8905""}]"
5846770922416646499,БНБ-Банк,"Минск, ул. Налибокская, 36 (ТЦ «Квадро»)","53.927832074704,27.433165060188","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": ""2.908""}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": ""2.8""}]"
4601770974987492892,БНБ-Банк,"Минск, ул. Притыцкого, 29 (ТЦ «Тивали»)","53.908080068822,27.484298965637","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": ""2.908""}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": ""2.8""}]"
-7136561069451131392,БНБ-Банк,"Минск, ул. Мстиславца, 11 (ТЦ «Dana Mall»)","53.933698,27.652534","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": ""2.908""}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": ""2.8""}]"
-3366013373390256433,БНБ-Банк,"Минский район, Боровлянский с/с, 74/1 (ТЦ «Экспобел»)","53.964443,27.624021","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": ""2.908""}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": ""2.8975""}]"
4888936628862289351,БНБ-Банк,"г. Минск, ул. Шаранговича, 21 (ТЦ «Гудвил»)","53.88496,27.451042","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": ""2.908""}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": ""2.8""}]"
6535714858791159367,БНБ-Банк,"Минск, ул. Рудобельская,3 (ТЦ «Greentime»)","53.861235,27.638305","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": ""2.908""}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": ""2.8""}]"
5175352278903458120,БНБ-Банк,"Минск, ул. Братская, 18 (ТОЦ «Aвиа Молл»), нулевой этаж","53.867023,27.548563","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": ""2.908""}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": ""2.8905""}]"
3366658510370585994,БНБ-Банк,"Минск, пр-т. Партизанский, 79 (ТЦ «Prizma»)","53.876573,27.625863","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": ""2.908""}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": ""2.8""}]"
1714061436656806108,БНБ-Банк,"Минская область, Минский район, Новодворский с/с, район д. Большое Стиклево, 126 (ТЦ «Яркий»)","53.866933,27.693389","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": ""2.908""}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": ""2.8""}]"
-4713751552390781063,БСБ Банк,"г.Минск, Независимости пр., 154","53.936303,27.67323","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": ""2.908""}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": ""2.897""}]"
7794824047538744294,БСБ Банк,"г.Минск, Победителей пр., 65","53.926449,27.518349","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": ""2.908""}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": ""2.88""}]"
-5496775103642963429,СтатусБанк,"Минск и Минский р-н, Минская обл., Минский район, Боровлянский с/с, 74A, район д.Боровая,ТРЦ ""Expobel"" (1 этаж)","53.964257201888,27.624696331462","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": ""2.908""}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": ""2.897""}]"
2781979116545593449,СтатусБанк,"Минск и Минский р-н, г. Минск, пр. Независимости, 154,ТЦ ""Корона""","53.936242242177,27.67325231314","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": ""2.908""}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": ""2.897""}]"
8136101711572647095,Паритетбанк,"г. Минск, улица Киселева 61А","53.915008,27.560412","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": ""2.908""}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": ""2.885""}]"
-4611096981472774709,Паритетбанк,"г. Минск, улица Гамарника 9к4","53.955501,27.611337","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": ""2.908""}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": ""2.89""}]"
2463710731803190638,Паритетбанк,"г. Минск, улица Бобруйская 15","53.891473,27.553198","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": ""2.908""}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": ""2.878""}]"
7657474455313946278,Паритетбанк,"г. Минск, Боровлянский сельсовет 74","53.964287,27.623771","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": ""2.908""}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": ""2.89""}]"
-7797556375999566462,Паритетбанк,"г. Минск, улица Притыцкого 97 - 463","53.90595,27.43655","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": ""2.908""}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": ""2.89""}]"
2938053085790046390,Паритетбанк,"г. Минск, проспект Мира 4","53.870304,27.547108","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": ""2.908""}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": ""2.89""}]"
-7859990706915709956,Паритетбанк,"г. Минск, улица Братская 18","53.867179,27.548504","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": ""2.908""}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": ""2.89""}]"
